Client_id,Client,Carrier_id,Carrier,Product_id,Submission,Quote,Mscore
3068,"3 Round Stones, Inc.",3562,Vital Axiom ,102,5,3,8
3069,48 Factoring Inc.,3563,VitalChek,101,2,0,0
3070,5PSolutions,3564,Vitals,101,2,0,0
3071,Abt Associates,3565,Vizzuality,103,2,0,0
3072,Accela,3566,Votizen,105,3,1,2
3073,Accenture,3567,Walk Score,110,8,5,7
3074,AccuWeather,3568,WaterSmart Software,110,3,1,2
3075,Acxiom,3569,WattzOn,103,2,0,0
3076,Adaptive,3570,Way Better Patents,105,3,1,2
3077,Adobe Digital Government,3571,Weather Channel,110,8,5,7
3078,Aidin,3572,Weather Decision Technologies,110,3,1,2
3079,Alarm.com,3573,Weather Underground,103,3,0,0
3080,Allianz,3575,Webitects,110,3,1,2
3081,Allied Van Lines,3576,WebMD,105,8,5,7
3082,AllState Insurance Group,3577,Weight Watchers,110,3,1,2
3083,Alltuition,3578,WeMakeItSafer,23,2,0,0
3084,Altova,3579,Wheaton World Wide Moving,104,5,2,5
3085,Amazon Web Services,3580,Whitby Group,23,2,0,0
3086,American Red Ball Movers,3581,Wolfram Research,105,2,0,0
3087,Amida Technology Solutions,3582,Wolters Kluwer,104,4,4,4
3088,Analytica,3583,Workhands,23,3,1,2
3089,Apextech LLC,3584,Xatori,23,8,5,7
3090,Appallicious,3562,Vital Axiom ,102,3,1,2
3091,Aquicore,3565,Vizzuality,102,5,3,8
3092,Archimedes Inc.,3565,Vizzuality,103,2,0,0
3093,AreaVibes Inc.,3566,Votizen,105,3,1,2
3094,Arpin Van Lines,3567,Walk Score,110,8,5,7
3095,Arrive Labs,3577,Weight Watchers,110,3,1,2
3096,ASC Partners,3578,WeMakeItSafer,23,2,0,0
3097,Asset4,3579,Wheaton World Wide Moving,104,5,2,5
3098,Atlas Van Lines,3580,Whitby Group,23,2,0,0
3099,AtSite,3581,Wolfram Research,105,2,0,0
3100,"Aunt Bertha, Inc.",3562,Vital Axiom ,102,3,1,2
3101,Aureus Sciences ,3565,Vizzuality,102,5,3,8
3102,AutoGrid Systems,3565,Vizzuality,103,2,0,0
3103,Avalara,3584,Xatori,23,8,5,7
3104,Avvo,3584,Xatori,23,8,5,7
3105,Ayasdi,3582,Wolters Kluwer,23,8,5,7
3106,Azavea,3584,Xatori,23,8,5,7
3107,BaleFire Global,3582,Wolters Kluwer,30,1,0,0
3108,Barchart,3562,Vital Axiom ,102,3,1,2
3109,Be Informed,3565,Vizzuality,102,5,3,8
3069,48 Factoring Inc.,3564,Vitals,101,2,0,0
3070,5PSolutions,3565,Vizzuality,103,2,0,0
3071,Abt Associates,3570,Way Better Patents,105,3,1,2
3072,Accela,3571,Weather Channel,110,8,5,7
3073,Accenture,3572,Weather Decision Technologies,110,3,1,2
3074,AccuWeather,3573,Weather Underground,103,3,0,0
3103,Avalara,3576,WebMD,105,8,5,7
3104,Avvo,3577,Weight Watchers,110,3,1,2
3105,Ayasdi,3578,WeMakeItSafer,23,2,0,0
3106,Azavea,3579,Wheaton World Wide Moving,104,5,2,5
3107,BaleFire Global,3584,Xatori,23,8,5,7
